label,text
Fake,del ben chafin took money away southwest virginia school votingto build politician palace
Fake,blame mike mcintyre nancy pelosi second straight year costofliving increase social security beneficiary
Fake,say unlike u senate even libyan government middle civil war passed budget june
Fake,like u chamber commerce aflcio receives due foreign entity associated
Fake,new york time retract story hillary clinton email handling broken certain law
Fake,people signed obamacare exchange already insurance
Genuine,past four year u senate passed nine appropriation bill
Fake,say bill nelson voted cut billion medicare pay obamacare
Fake,since president obama took office ohio worker lost job
Fake,gm chrysler repaid loan
Genuine,romney failed take action sanctuary city massachusetts
Fake,percent american cut back health care last year cost
Fake,newt gingrichs presidential campaign exactly challenge ronald reagan successful bid
Fake,say plan property tax cut
Fake,senator mccain would pay part health care plan making drastic cut medicare billion worth
Genuine,small business district needed different permit fee able expand
Fake,ive outspent opponent every time ive run u senate
Fake,minnesota michigan iowa already mph speed limit rural interstate see theyve able safely
Genuine,say youtube video show thomas dimassimo man rushed trump ohio rally dragging american flag ground like piece garbage
Fake,sen jeff merkley voted six time debt
Genuine,say state budget eliminates structural deficit first time decade
Fake,far war gaza left palestinian dead population equivalent
Fake,george allen flat tax plan would actually shrink revenue thanthe perry flat tax plan
Fake,recent obama executive order could lead number investigation interpol united state potentially aimed american official
Genuine,opportunity scholarship act would funded directly public school budget would absolutely take money public school system transfer private religious school
Fake,say california flag supposed apear bear
Genuine,percent catholic agree vatican position abortion illegal
Fake,threeyearolds fouryearolds across america lose access preschool head start program state florida alone
Fake,already seeing baker florist photographer forced participate samesex marriage threat law case even jail
Genuine,u senate candidate michelle nunn earned much running nonprofit laid worker
Fake,say supported george bush barack obama
Fake,mitt romney governor massachusetts lost manufacturing job rate twice national average
Fake,first time history weve raising debt limit also spending cut
Fake,april democrat control congressional approval rating percent
Fake,saysmichael bennet want close guantanamo bay prisonand bring terrorist right colorado
Fake,affordable care act making family pay doubledigit premium increase
Genuine,connecticut take slot machine cent dollar state take table game zero
Fake,ryan sittons company accepted obama stimulus dollar
Fake,say sen mark begich ineffective passed one bill naming building
Genuine,since virginia lottery profit used public education commonwealth kindergarten th grade
Fake,president barack obama took exactly none deficit reduction commission idea one
Genuine,say mitt romney opposes requiring employer cover contraception would eliminate funding planned parenthood
Fake,independent payment advisory board created health care reform law ration care deny certain medicare treatment
Genuine,say barack obama promised would cut deficit half didnt
Fake,study massachusetts institute technology harvard dartmouth concluded medicaid value beneficiary significantly lower actual cost program
Fake,say president barack obama opened new trade relationship nation
Fake,wisconsin rank th state venture capital investment
Genuine,trade deal threaten india role pharmacy developing world new hiv medicine
Genuine,since aftertax income nearly percent
Genuine,new presidential helicopter going cost much air force one
Fake,environmentalist said going stop coal mining foot well guess coal state tennessee foot
Genuine,economy louisiana grown percent faster national gdp even since national recession
Fake,american soldier lost life afghanistan last month combined total nine year
Genuine,nevada recently ranked unemployment foreclosure violent crime personal bankruptcy divorce
Fake,say alex sink supported billion increase florida debt
Fake,state pension fund staffer lost billion sink gave bonus
Fake,there one candidate investigation terry mcauliffe
Fake,barack obama began presidency apology tour
Genuine,got rid income tax today youd much revenue year ago
Genuine,say colorado congressional candidate morgan carroll voted allow welfare recipient use tax dollar atm strip club pot dispensary
Fake,klein hold single town hall meeting health care general public invited ask question present view
Fake,president obama running reelection senator sander trying find someone primary
Fake,nascar endorsed trump
Fake,say susan rice president national security adviser already conceded iran robust uranium enrichment capability
Genuine,original compromise confederate battle flag south carolina put back side statehouse public view would appearance sovereignty
Fake,onethird health care dollar go thing health care go insurance company
Fake,party white house responsible massive tax increase middle class
Fake,say internal revenue service estimated must hire agent cost billion taxpayer enforce federal health care overhaul
Genuine,people enter service there mental health evaluation
Fake,rep adam putnam silent rush limbaugh called sonia sotomayor racist
Genuine,say warren buffett publicly said secretary paying higher tax rate
Genuine,taking executive action immigration president obama stated time authority change immigration law
Fake,say romney bain capital drove kb toy bankruptcy loading debt
Fake,killed lot innocent people state texas
Fake,second boston college student per caput
Fake,audit last census found people living texas counted state lost estimated billion federal fund result
Fake,whether he relationship vladimir putin
Genuine,currently student station sitting empty across florida every district every grade level
Fake,thanks rick perry bad budgeting texas highway department convert modern paved state road back gravel
Fake,say indiana gov mike penny advocated diverting taxpayer dollar socalled conversion therapy
Fake,since rightwing extremist incl antiabortion antigov killed american islamic extremist
Fake,job created texas gov rick perry government job
Fake,went trillion surplus george bush inherited plus trillion debt george bush left office
Fake,say el paso safest city size nation
Fake,say gov john kasich implied portion worker compensation rebate employer directed back form campaign cash
Fake,gun people united state
Fake,say gop u rep sean duffy wisconsin voted twice end medicare
Fake,gov chris christie owes state money amenity like extra gorgonzola cheese staff trip
Genuine,say amanda fritz manages le percent city operation
Genuine,say mitt romney wrong claim spending obama accelerated pace without precedent recent history actually risen slower time nearly year
Fake,say scott walker forcing woman undergo transvaginal probe get abortion
Genuine,say virginia house republican sacrificing million day u fund refusing expand medicaid
Fake,average age child trafficked commercial sex trade industry year old
Fake,threw barbecue yesterday memorial weekend percent expensive last year barack obamas policy led grocery going percent
Fake,average public school teacher wisconsin making year salary benefit
Genuine,forty percent people country illegally overstaying visa
Fake,year president obama canceled st annual national day prayer ceremony white house ruse wanting offend anyonebut september pm national day prayer muslim religion held capitol hill beside white house
Genuine,one recent poll said percent american people said either dont anything start health care reform
Genuine,welcome houston diverse city america
Fake,north carolina study prof probably million people voted twice election
Genuine,washing hand covering mouth cough make huge difference reducing transmission flu
Fake,john kitzhaber created new job governor
Fake,remember landing sniper fire
Genuine,virginia opportunity become first state east coast explore produce oil natural gas offshore
Fake,recent recordlow water level lake michigan evidence global warming leading evaporation great lake
Fake,constitution simply authorize federal government land western state
Genuine,tampa bay ray price judged affordable professional sport
Fake,know president obama stole billion medicare switch obamacare
Fake,know social science child best mom dad
Fake,estimate say individual escaped high tax state taken around trillion adjusted gross income
Genuine,fact amnesty
Fake,net ohio manufacturing job lost sen rob portman call nafta proven success
Fake,violence spreading mexico youve got bullet hitting city hall el paso youve got bomb exploding el paso
Fake,say scott walker tried pas law allow pharmacist block woman access birth control
Genuine,neither hillary clinton donald trump plan address civil war syria
Fake,million people work look job give sudden statistically theyre considered employed
Genuine,candidate president obama declared everyone deserves access reproductive health care includes abortion vowed right would heart health care reform plan elected president
Fake,benefit offered congressman dont even compare benefit get state employee experienced theyre nearly good
Genuine,say texas routinely get lot federal spending pay tax
Fake,say ron johnson referred lego movie insidious antibusiness conspiracy
Fake,say providence mayor david cicilline said city worldclass school system providence worldclass school system measured amongst last school system entire country
Genuine,there statistical evidence waiting period handgun purchase reduces violence whatsoever
Fake,fy planned parenthood performed abortion receiving million taxpayer violation hyde amendment
Fake,say u senate candidate tommy thompson support plan privatizing social security
Genuine,balanced budget balanced budget act ultimately four consecutive balanced budget
Genuine,congress tell supreme court case ought hear authority
Genuine,city clarkston cant decriminalize marijuana state legislator congress
Fake,created school choice program
Fake,population grown million almost million today
Fake,say rob portman voted bipartisan bill affirm climate change real human significantly contribute need addressed
Genuine,inequality texas steadily getting worse rich people great many poor people fewer fewer middle
Fake,half people would qualify medicaid expansion florida buy health care plan month federal health care exchange
Fake,u energy policy borrow money china buy oil country dont like u
Genuine,milwaukee police department seized nearly many firearm year much larger new york city police department
Fake,say hillary clinton plan would tax many small business almost percent
Fake,mayor giuliani made new york city whats known sanctuary city illegal alien allowed come instructed leader city enforce law enforce immigration law
Genuine,say american died gunfire time ebola scare dallas midterm election
Fake,say donald trump hillary clinton say planned parenthood terrificand keep taxpayer funding
Fake,texas state rep dan branch jim pitt lieutenant house speaker joe straus helping democrat ellen cohen republican challenger event district
Genuine,united state highest incarceration rate world
Fake,status illegal immigrant
Fake,general electric hasnt really created job country doesnt pay tax theyre making historic profit
Fake,slashing billion social security rep jim renacci may end forcing entire agency shut month causing senior get benefit time halting claim processing forcing new retiree disabled worker backlog
Fake,nonprofit groupfeeding america lying claimsthat one five kid fighting starvation daily united state
Genuine,say rick perry supported guest worker program help people would otherwise illegal alien
Fake,hillary clinton surged trade deficit china secretary state costing american million job
Fake,year state legislature never voted tax increase
Fake,executive director democratic party virginia people payroll
Genuine,say mitt romney million cayman island tax
Genuine,secretary state high approval rating
Fake,say hillary clinton said veteran affair scandal overexaggerated said satisfied going
Fake,tax code page
Genuine,congressional budget office say percent unemployment till
Genuine,jumped place since beginning year term jobfriendly
Fake,rick scott took family leased land drilling trying hide
Fake,restoring voting right nonviolent felon
Fake,president obamas uncle aunt illegal alien whove allowed stay country
Genuine,president obamas recent plan cut million waste within administration wont actually save money he going spend elsewhere
Genuine,little evidence use red light camera new jersey reduced number severity accident intersection used
Fake,drilling atlantic coast
Fake,say paperback edition mitt romneys book deleted line massachusetts individual mandate model country
Fake,top percent pay percent tax country
Genuine,opponent glenn hegar expressed pride legislated cut public school funding
Genuine,half oregon university student pell grant
Fake,tax plan greatest gain percentagewise lower end plan
Genuine,republican approved time larger tax break people making grand average middleclass person
Fake,obamacare one big fat va system
Genuine,said democratic primary without one negative tv spot
Fake,iran nuclear deal give billion get nothing
Genuine,people want minimum wage want marriage equality want woman health care there issue actually really matter social issue matter people state know barbara would support issue know governor hasnt youve seen action he taken
Fake,youve seen going million surplus getting next biennium almost million deficit
Fake,say potential democratic opponent mary burke implemented policy jim doyle policy last term saw state lose job
Genuine,george allen voted budget increased national debt every second served u senate
Fake,commercial vehicle wheeler cause plus percent damage highway bridge
Genuine,massachusetts health care law added percent state budget
Genuine,racial ethnic makeup gwinnett county sheriff office mirror community serf
Fake,every survey show strong satisfaction private coverage
Genuine,president barack obamas judicial appointment georgia region drafted secret vetted legal group among president supporter
Fake,experience senate budget chair cutting billion spending close deficit protecting education health care
Fake,say hillary clinton tim kaine want expand obamacare singlepayer program
Genuine,florida statute require attorney general bill mccollum consult member florida congressional delegation filing lawsuit health care reform law
Fake,trump wanted turn taxpayerowned building anight hotel congressman jeff denham rca helped broker deal bragged
Fake,part ride warn british already hey youre going succeed
Fake,planned parenthood nothing referral service dont anything except profit killing baby selling body part aborted baby
Genuine,travis county highest urban county tax rate texas
Fake,say ted cruz ad got bulldozing housei never bulldozed false advertising
Fake,dallas proofofinsurance ordinance resulted area tow lot mostly filling car illegal resident
Fake,overwhelming majority republican democrat law enforcement leader endorsed brad schimel
Fake,recent polling battleground state majority people said hillary clinton untrustworthy
Fake,there tremendous tax pay american business go china whereas china sell u there tax
Fake,say rejecting federal aid expand medicaid texas send billion federal tax paid texan state insure working poor
Fake,average age first marijuana use
Fake,minnesota kicking butt relative wisconsin everything employment job creation school test score educated work force host factor ranking
Fake,say george soros bill gate funding bioweapon lab sierra leone caused ebola outbreak
Fake,say cant destroy gun purchased gun buyback program city memphis want
Fake,flint sworn officer police force murder rape city flint police officer murder rate climbed rape climbed
Genuine,say hillary clinton plan massively increase admission middle east refugee including percent increase syrian refugee coming country
Fake,say abortion doctor flying state performing abortion flying
Fake,took office little reserve
Fake,lower family income illinois today year ago illinois control house speaker michael madigan democrat
Fake,newark home onethird commercial multifamily development
Fake,ohio invested child raising school funding percent last budget
Fake,black america country itd th wealthiest nation world
Fake,sanctuary city philadelphia refuse cooperate federal government locating suspected terrorist custody country illegally
Genuine,civil war ohioan served union army per caput state
Genuine,u department homeland security warned save database foolproof mean verifying citizenship voter roll
Genuine,northern virginia heavily trafficked place country
Fake,proposed revenue smart cap give floridian voice requiring percent vote citizen order impose new tax fee license fine charge assessment
Fake,providence teacher contract one longest country
Fake,say reason pay toll every time pas bridge mopac william cannon
Genuine,aig said giving million retention payment people terminated
Fake,health insurance cost floridian percent
Fake,study showed president barack obamas healthcare reform devastate wisconsin pushing people employersponsored insurance driving premium increasing dependency making people ineligible medicaid
Genuine,say poll show without name attached democrat one point behind gov john kasich
Fake,say chris christie behind poll jon corzine governor race
Fake,gov rick perry used billion stimulus dollar school plug hole budget
Fake,since january majority austin city council meeting extended past pm many meeting gone past midnight
Genuine,already health insurance job medicare medicaid va nothing plan require employer change coverage doctor
Genuine,foreclosure tax would take effect could mean high tax bill facing foreclosure million family modified mortgage short sale lender
Fake,farming one fastest growing area economy
Genuine,percent increase domestic production would increase world supply le percent almost nothing dependence foreign oil would also virtually effect price gas pump
Fake,price going unemployment continuing go
Fake,say barack obama broke decadesold policy negotiating terrorist
Genuine,bill clinton presided biggest expansion american economy since world war ii
Fake,say cape may cumberland salem part atlantic county south masondixon line
Genuine,austin mayoral candidate steve adler admitted law firm worked koch industry nearly decade
Fake,say rick perry became governor percent total labor force minimum wage job today number doubled percent
Fake,steve santarsiero wrote pa gun safety law
Fake,say rep jim renacci trying leave town holiday without extending payroll tax cut
Fake,va veteran died waiting care
Fake,president obamas health care law say sell house pay percent tax
Fake,cnn poll recently obama statistically tied
Fake,say allen west violatedfederal law scuba diving u flag
Genuine,unique internet protocol address wisconsin alone downloaded child pornography
Fake,say supreme court justice sonia sotomayor animmigrant family background
Fake,recent study confirmed academic benefit government funded preschool disappear fourth grade
Genuine,waterboard incidentally hundred military personnel waterboard training toughen
Fake,say barack obama worst record president come putting america deeper debt
Genuine,rick scott invested million port jacksonville vital mile point project covered missing federal fund project
Genuine,point pleasant beach beach privately owned operated business jenkinsons
Fake,legislature refuse expand medicaid state going get money virginia taxpayer money state provide health care citizen paid u
Fake,gov rick scott activates national guard anticipation federal disaster state cost including cost recall furloughed guardsman fully reimbursable fema
Fake,obama sign bill forgiving student loan debt
Genuine,lot people got rich pay top tax rate percent
Fake,eric cantor took million sheldon adelson la vega casino owner
Fake,gas price gone since obama took office
Fake,say thomas jefferson helped craft constitution
Genuine,miamidade county spend school system million every year educating recent immigrant
Fake,plan incorporates idea many people room tonight democrat republican
Fake,statistic show people time telecommute ride carpools mass transit bicycle walk
Genuine,bill mccollumhas recovered million medicaid fraud
Genuine,two appointment florida supreme court raul cantero kenneth bell earned reputation consistent conservative
Fake,since february private sector lost million job federal government grown hundred thousand worker
Fake,say patrick murphy never worked cpa never small business owner
Fake,say twothirds group targeted irs scrutiny conservative
Genuine,say portland higher standard fed allowed police use force
Genuine,hillary clinton actually differed john mccain arguing exception torture changing position
Fake,head fbi told congress vet syrian refugee
Fake,opponent child care plan
Fake,amount attention paid week chris christie make coverage benghazi pale significance
Genuine,city united state people providence rd safest
Fake,ryan planthose younger would receive kind healthcare option enjoyed member congress
Genuine,ripta really fullest bus transit agency size around country
Fake,president obama funneled billion medicare expense elderly
Fake,say president barack obamas acceptance islamic order gold medal unconstitutional
Fake,first round stimulus created zero job
Fake,ch guevara wrote extensively superiority white european people african descent
Fake,renewable energy project get u foreign oil away step step foreign entanglement get defend oil supply
Genuine,house republican complained didnt enough time consider constitutional ban oil drilling shoved proposal day open state water oil drilling
Genuine,last budget committed highest level needbased financial aid state history
Fake,one penny california prop bag ban tax go environment
Fake,say passed eight measure including one prevent groping airport security check bar sanctuary city texas
Fake,health care law imposes largest tax increase history middle class
Genuine,half adult preexisting condition could affecttheir health care coverage
Genuine,dark money spending election cycle time point election cycle topped million
Genuine,united state america twentysixth school performance world
Fake,first time since american manufacturer creating new job
Fake,every time somebody new get ebola virus mutates
Fake,preparing rule package th congress gop discussion democrat
Fake,elimination essentially every automobile would offset one volcano exploding
Fake,sign dearborn mich advancement islamic agenda america say allah praised america kill nothing stop
Fake,president obamashealth care law government takeover healthcare
Fake,ezekiel emanuel one president obamas key health care adviser say medical care reserved nondisabled watch youre disabled
Genuine,failure raise debt limit force u default debt payment
Fake,proposed gogebic mine northern wisconsin could extended long mile
Genuine,income disparity united state worst since
Fake,health care reform law reduces deficit nearly trillion next two decade
Fake,health reform legislation washington passed last year made difficult hire increased cost employer
Fake,say voter identification law keep poor people voting minority voting elderly voting student voting
Fake,marco rubio subpoenaed
Genuine,texas higher unemployment rate neighboring state
Genuine,u rep alan grayson compared former vice president vampire compared america health care system holocaust
Fake,nafta signed bill clinton disaster pennsylvania
Genuine,give sense family struggling record four every school kid ohio qualifies subsidized lunch
Genuine,never death caused commercial nuclear reactor united state even three mile island failed
Fake,say texas abortion year
Genuine,figure september job growth wisconsin mark largest privatesector job creation weve month september decade
Fake,say democrat controlled congress white house federal spending share gross domestic product leapt percent percent largest increase eightyear period since world war ii
Fake,cory gardner sponsoring bill ban abortion right
Genuine,capitol built slave
Fake,four time said john mccainis hero know people choose selective piece
Genuine,africanamerican community today percent kid born born wedlock
Fake,supreme court nominee merrick garland voted uphold dc ban handgun
Fake,say taxpayer resource used facilitate private political agenda automatic payroll deduction union due
Fake,waushara county school closed state budget cut supported republican wisconsin state sen luther olsen
Fake,say mitt romney pay le tax guy installed car elevator
Fake,part effort rein protester republican wisconsin bolted window inside capitol shut
Fake,say son targeted facebook outofstate protester
Fake,scott walker tax plan average wisconsin taxpayer got month corporation got million tax cut millionaire got least per year
Fake,running civil polite campaign
Fake,new jersey today fewer employee state government christie whitman left office january think thats good without layoff attrition
Fake,wisconsin law anyone know anything john doe secret criminal investigation cant talk
Genuine,big soda lot moneythey make lot profit product market neighborhood suffer thing trying cure
Fake,say plan raise car registration would still leave virginia fee thats equal lower state
Fake,every house florida solarheated water tank would eliminate consumption percent
Fake,going troop afghanistan russian
Genuine,ive taken federal government
Fake,say federal plan expand medicaid would cost florida taxpayer billion year
Genuine,say marco rubio worst voting record today
Fake,earth warming
Fake,consumer financial protection bureau passed rule giving agency unprecedented power shut business matter reason time wish
Genuine,mt hood community college average top faculty pay benefit
Genuine,governor deal increased education spending every year he office
Genuine,say there proven instance hydraulic fracking polluted groundwater
Genuine,virginia woman earnonly cent dollar earned men
Genuine,thirtyfour percent hispanic dont health care dont health insurance
Fake,cosponsored rebuild america job act transportation infrastructure
Fake,say gov scott walker repeal law left wisconsin one five state without equal pay law protecting woman gender discrimination paycheck
Fake,phoenix already one kidnapping capital world
Fake,four year balanced budget paid billion debt
Fake,dog meat festival yulin china threatens global public health
Fake,jules bailey instrumental creating business energy tax credit let company like walmart profit million costing oregon general fund million
Genuine,inflationadjusted defense spending declined percent since even discount drawdowns iraq afghanistan still declined dangerous percent
Fake,lindsey graham endorsed charlie crist u senate
